,Title_edition,Date_of_publication,Link
0,Islam and the Arab revolutions,Dec 20th 1997,https://www.economist.com//printedition/global-gloom-global-laughter
1,America’s world,Dec 13th 1997,https://www.economist.com//printedition/south-africa%E2%80%99s-uncertain-future
2,guest-,Dec 6th 1997,https://www.economist.com//printedition/1997-12-06
3,guest-,Nov 29th 1997,https://www.economist.com//printedition/1997-11-29
4,Is Russia going wrong?,Nov 22nd 1997,https://www.economist.com//printedition/1997-11-22
5,That man again,Nov 8th 1997,https://www.economist.com//printedition/1997-11-08
6,A week on the wild side,Nov 1st 1997,https://www.economist.com//printedition/1997-11-01
7,Greeting the dragon,Oct 25th 1997,https://www.economist.com//printedition/1997-10-25
8,The millenium-bug muddle,Oct 4th 1997,https://www.economist.com//printedition/1997-10-04
9,What is Europe?,Sep 20th 1997,https://www.economist.com//printedition/visible-hand
10,"Sharon’s Israel, the world’s worry",Sep 13th 1997,https://www.economist.com//printedition/china%E2%80%99s-new-revolutionary
11,The tragedy of Diana,Sep 6th 1997,https://www.economist.com//printedition/1997-09-06
12,The puzzling failure of economics,Aug 23rd 1997,https://www.economist.com//printedition/1997-08-23
13,"India at 50, and beyond",Aug 16th 1997,https://www.economist.com//printedition/1997-08-16
14,Iran’s new face,Aug 2nd 1997,https://www.economist.com//printedition/1997-08-02
15,Cleaning up dirty money,Jul 26th 1997,https://www.economist.com//printedition/1997-07-26
16,South-East Asia loses its grip,Jul 19th 1997,https://www.economist.com//printedition/1997-07-19
17,The war about war,Jun 28th 1997,https://www.economist.com//printedition/how-hong-kong-can-change-china
18,The vote that changed Japan,Jun 14th 1997,https://www.economist.com//printedition/emerging-africa
19,How to make mergers work,May 31st 1997,https://www.economist.com//printedition/disappearing-taxpayer
20,Axis of feeble,May 10th 1997,https://www.economist.com//printedition/car-crash-ahead
21,Do you believe in fairies?,May 3rd 1997,https://www.economist.com//printedition/what-blair-means-britain
22,America and the Arabs,Apr 12th 1997,https://www.economist.com//node/21517248
23,America and the Arabs,Apr 5th 1997,https://www.economist.com//node/21517885
24,The hundred years' war,Mar 29th 1997,https://www.economist.com//node/21517247
25,The world’s forgotten danger,Mar 22nd 1997,https://www.economist.com//node/21517884
26,Drugs and the Olympics,Mar 8th 1997,https://www.economist.com//node/21517883
27,That shocking conservative,Jan 18th 1997,https://www.economist.com//printedition/global-economy-local-mayhem
28,A bad time to be an ostrich,Dec 19th 1998,https://www.economist.com//printedition/1998-12-19
29,NATO’s mid-life crisis,Dec 12th 1998,https://www.economist.com//printedition/1998-12-12
30,Will the real German government please stand up?,Dec 5th 1998,https://www.economist.com//printedition/1998-12-05
31,War of the worlds,Nov 28th 1998,https://www.economist.com//printedition/1998-11-28
32,The world’s forgotten danger,Nov 14th 1998,https://www.economist.com//printedition/1998-11-14
33,Oh lucky man,Nov 7th 1998,https://www.economist.com//printedition/1998-11-07
34,Trick or treat?,Oct 31st 1998,https://www.economist.com//printedition/1998-10-31
35,Will China be next?,Oct 24th 1998,https://www.economist.com//printedition/1998-10-24
36,A new approach to financial risk,Oct 17th 1998,https://www.economist.com//printedition/1998-10-17
37,Missing the point,Oct 10th 1998,https://www.economist.com//printedition/1998-10-10
38,Handle with care,Oct 3rd 1998,https://www.economist.com//printedition/1998-10-03
39,Japan’s amazing ability to disappoint,Sep 26th 1998,https://www.economist.com//printedition/1998-09-26
40,Just go,Sep 19th 1998,https://www.economist.com//printedition/1998-09-19
41,Unwanted,Sep 12th 1998,https://www.economist.com//printedition/1998-09-12
42,Outlook for the world economy?,Sep 5th 1998,https://www.economist.com//printedition/1998-09-05
43,Punish and be damned?,Aug 29th 1998,https://www.economist.com//printedition/1998-08-29
44,Clinton’s minima culpa,Aug 22nd 1998,https://www.economist.com//printedition/1998-08-22
45,Target: America,Aug 15th 1998,https://www.economist.com//printedition/1998-08-15
46,Grin and bear it,Aug 8th 1998,https://www.economist.com//printedition/1998-08-08
47,The eternal triangle,Aug 1st 1998,https://www.economist.com//printedition/1998-08-01
48,Asia’s delicate balance,Jul 25th 1998,https://www.economist.com//printedition/1998-07-25
49,"Goodbye, Hashimoto",Jul 18th 1998,https://www.economist.com//printedition/1998-07-18
50,The price of an icon,Jul 11th 1998,https://www.economist.com//printedition/1998-07-11
51,Here is the news,Jul 4th 1998,https://www.economist.com//printedition/1998-07-04
52,As Japan goes . . .,Jun 20th 1998,https://www.economist.com//printedition/1998-06-20
53,In defence of the demon seed,Jun 13th 1998,https://www.economist.com//printedition/1998-06-13
54,The challenge for America’s rich,May 30th 1998,https://www.economist.com//printedition/1998-05-30
55,Asia’s shockwaves,May 16th 1998,https://www.economist.com//printedition/1998-05-16
56,Mercedes goes to Motown,May 9th 1998,https://www.economist.com//printedition/1998-05-09
57,Europe takes flight,May 2nd 1998,https://www.economist.com//printedition/1998-05-02
58,Israel at 50,Apr 25th 1998,https://www.economist.com//printedition/1998-04-25
59,Pretty at Citi?,Apr 11th 1998,https://www.economist.com//printedition/1998-04-11
60,The strange rage of Boris Yeltsin,Mar 28th 1998,https://www.economist.com//printedition/1998-03-28
61,Patients or profits?,Mar 7th 1998,https://www.economist.com//printedition/1998-03-07
62,Asia’s coming explosion,Feb 21st 1998,https://www.economist.com//printedition/1998-02-21
63,The sex business,Feb 14th 1998,https://www.economist.com//printedition/1998-02-14
64,Mr Blair goes to Washington,Feb 7th 1998,https://www.economist.com//printedition/1998-02-07
65,"If it’s true, go",Jan 31st 1998,https://www.economist.com//printedition/1998-01-31
66,Clinton’s temptations,Jan 24th 1998,https://www.economist.com//printedition/1998-01-24
67,Kill or cure?,Jan 10th 1998,https://www.economist.com//printedition/1998-01-10
68,South Korea’s new start,Jan 3rd 1998,https://www.economist.com//printedition/1998-01-03
69,Do you believe in fairies?,Dec 25th 1999,https://www.economist.com//printedition/1999-12-25
70,Bleak and bloody Russia,Dec 18th 1999,https://www.economist.com//printedition/1999-12-18
71,The real losers from Seattle,Dec 11th 1999,https://www.economist.com//printedition/1999-12-11
72,"Yes, minister",Dec 4th 1999,https://www.economist.com//printedition/1999-12-04
73,Storm over globalisation,Nov 27th 1999,https://www.economist.com//printedition/1999-11-27
74,China opens up,Nov 20th 1999,https://www.economist.com//printedition/1999-11-20
75,Now bust Microsoft’s trust,Nov 13th 1999,https://www.economist.com//printedition/1999-11-13
76,Ten years on,Nov 6th 1999,https://www.economist.com//printedition/1999-11-06
77,Firing the boss,Oct 30th 1999,https://www.economist.com//printedition/1999-10-30
78,America’s world,Oct 23rd 1999,https://www.economist.com//printedition/1999-10-23
79,"Oh, Pakistan",Oct 16th 1999,https://www.economist.com//printedition/1999-10-16
80,Why greens should love trade,Oct 9th 1999,https://www.economist.com//printedition/1999-10-09
81,China—the fireworks to come,Oct 2nd 1999,https://www.economist.com//printedition/1999-10-02
82,Trapped,Sep 25th 1999,https://www.economist.com//printedition/1999-09-25
83,The revolutionary spirit,Sep 18th 1999,https://www.economist.com//printedition/1999-09-18
84,Reflections on the 20th century,Sep 11th 1999,https://www.economist.com//printedition/1999-09-11
85,Let old folk work,Sep 4th 1999,https://www.economist.com//printedition/1999-09-04
86,Fuelling Russia’s economy,Aug 28th 1999,https://www.economist.com//printedition/1999-08-28
87,Asia’s astonishing bounce-back,Aug 21st 1999,https://www.economist.com//printedition/1999-08-21
88,Helping the poorest of the poor,Aug 14th 1999,https://www.economist.com//printedition/1999-08-14
89,The trouble with stock options,Aug 7th 1999,https://www.economist.com//printedition/1999-08-07
90,Other people’s wars,Jul 31st 1999,https://www.economist.com//printedition/1999-07-31
91,How real is the new economy?,Jul 24th 1999,https://www.economist.com//printedition/1999-07-24
